date,open,high,low,close,volume,volatility,return_1,lag_1,lag_2,ma_4,target_next_close
2005-05-20,73.09,77.64,73.09,76.41,34306900.0,4.549999999999997,0.04442318206670315,73.16,75.26,75.30250000000001,77.1
2005-05-27,76.3,77.41,75.17,77.1,24899800.0,2.239999999999995,0.00903023164507255,76.41,73.16,75.4825,75.79
2005-06-03,76.6,77.5,75.5,75.79,23975100.0,2.0,-0.016990920881971294,77.1,76.41,75.615,74.77
2005-06-10,75.8,76.09,74.1,74.77,24804200.0,1.990000000000009,-0.013458239873334388,75.79,77.1,76.0175,76.39
2005-06-17,74.5,77.73,74.45,76.39,33568000.0,3.280000000000001,0.021666443760866683,74.77,75.79,76.0125,74.01
2005-06-24,76.03,77.49,74.0,74.01,33289800.0,3.489999999999995,-0.031155910459484182,76.39,74.77,75.24000000000001,74.67
2005-07-01,74.01,75.68,73.45,74.67,30677800.0,2.230000000000004,0.008917713822456319,74.01,76.39,74.96,79.3
2005-07-08,74.38,79.52,74.16,79.3,37388800.0,5.359999999999999,0.0620061604392661,74.67,74.01,76.0925,82.38
2005-07-15,79.4,82.75,78.52,82.38,45662500.0,4.230000000000004,0.03883984867591428,79.3,74.67,77.59,84.44
2005-07-22,81.99,85.11,81.68,84.44,45014200.0,3.4299999999999926,0.025006069434328815,82.38,79.3,80.19749999999999,83.46
2005-07-29,83.98,84.52,82.81,83.46,24382900.0,1.7099999999999937,-0.011605873993368099,84.44,82.38,82.395,83.36
2005-08-05,83.0,84.2,82.73,83.36,22265700.0,1.4699999999999989,-0.0011981787682721068,83.46,84.44,83.41,82.19
2005-08-12,83.41,84.01,81.62,82.19,22568800.0,2.3900000000000006,-0.014035508637236127,83.36,83.46,83.3625,82.76
2005-08-19,81.9,83.3,80.8,82.76,22885800.0,2.5,0.006935150261589085,82.19,83.36,82.9425,80.38
2005-08-26,82.75,83.35,80.26,80.38,22210500.0,3.089999999999989,-0.02875785403576614,82.76,82.19,82.1725,79.46
2005-09-02,80.0,81.75,79.34,79.46,25171500.0,2.4099999999999966,-0.011445633242100017,80.38,82.76,81.19749999999999,81.44
2005-09-09,79.7,81.52,79.7,81.44,18681300.0,1.8199999999999932,0.024918197835388955,79.46,80.38,81.00999999999999,80.33
2005-09-16,81.03,82.11,79.67,80.33,25110400.0,2.4399999999999977,-0.013629666011787833,81.44,79.46,80.4025,78.0
2005-09-23,79.74,79.98,77.3,78.0,31701800.0,2.680000000000007,-0.02900535291920825,80.33,81.44,79.8075,80.22
2005-09-30,78.31,80.55,76.93,80.22,30116700.0,3.6199999999999903,0.028461538461538538,78.0,80.33,79.9975,80.5
2005-10-07,80.22,81.47,78.7,80.5,30921800.0,2.769999999999996,0.003490401396160525,80.22,78.0,79.7625,82.35
2005-10-14,81.24,83.52,81.08,82.35,36349300.0,2.4399999999999977,0.022981366459627228,80.5,80.22,80.2675,83.33
2005-10-21,82.36,84.6,81.93,83.33,39286100.0,2.6699999999999875,0.011900425015179072,82.35,80.5,81.6,81.42
2005-10-28,83.15,83.95,80.5,81.42,25793400.0,3.450000000000003,-0.02292091683667341,83.33,82.35,81.89999999999999,83.0
2005-11-04,81.51,83.3,80.64,83.0,31154000.0,2.6599999999999966,0.019405551461557424,81.42,83.33,82.52499999999999,84.55
2005-11-11,83.1,84.84,82.3,84.55,21762600.0,2.5400000000000063,0.01867469879518069,83.0,81.42,83.075,87.77
2005-11-18,84.25,88.0,84.03,87.77,30719600.0,3.969999999999999,0.03808397397989349,84.55,83.0,84.185,88.8
2005-11-25,87.6,89.39,86.88,88.8,18193100.0,2.510000000000005,0.011735217044548163,87.77,84.55,86.03,88.65
2005-12-02,88.8,89.94,88.36,88.65,25765400.0,1.5799999999999983,-0.0016891891891891442,88.8,87.77,87.4425,86.97
2005-12-09,88.4,89.92,86.33,86.97,26427900.0,3.5900000000000034,-0.01895093062605757,88.65,88.8,88.04750000000001,83.37
2005-12-16,87.01,87.35,82.75,83.37,39305300.0,4.599999999999994,-0.04139358399448079,86.97,88.65,86.94749999999999,83.48
2005-12-23,83.23,84.2,82.06,83.48,27298200.0,2.1400000000000006,0.0013194194554395633,83.37,86.97,85.6175,82.2
2005-12-30,83.48,84.5,81.56,82.2,17622000.0,2.9399999999999977,-0.015333013895543868,83.48,83.37,84.005,84.95
2006-01-06,82.45,85.03,80.81,84.95,36958200.0,4.219999999999999,0.03345498783454981,82.2,83.48,83.5,83.17
2006-01-13,83.9,84.81,82.5,83.17,30173200.0,2.3100000000000023,-0.020953502060035323,84.95,82.2,83.45,81.36
2006-01-20,82.8,84.7,81.25,81.36,34792500.0,3.450000000000003,-0.02176265480341477,83.17,84.95,82.92,81.02
2006-01-27,81.33,82.15,80.59,81.02,32471000.0,1.5600000000000023,-0.00417895771878074,81.36,83.17,82.625,79.97
2006-02-03,81.02,82.24,79.72,79.97,33566000.0,2.519999999999996,-0.012959763021476167,81.02,81.36,81.38,81.33
2006-02-10,79.94,81.46,78.93,81.33,32826100.0,2.529999999999987,0.017006377391521887,79.97,81.02,80.92,80.71
2006-02-17,81.33,81.91,80.13,80.71,26994200.0,1.7800000000000011,-0.007623263248493828,81.33,79.97,80.7575,80.1
2006-02-24,80.1,81.65,79.85,80.1,20014900.0,1.8000000000000114,-0.00755792342956263,80.71,81.33,80.5275,79.96
2006-03-03,80.0,80.89,79.51,79.96,23693200.0,1.3799999999999955,-0.001747815230961347,80.1,80.71,80.52499999999999,81.57
2006-03-10,80.05,82.25,79.86,81.57,23708100.0,2.3900000000000006,0.020135067533766815,79.96,80.1,80.585,83.3
2006-03-17,81.56,83.76,81.45,83.3,25173700.0,2.3100000000000023,0.02120877773691321,81.57,79.96,81.23249999999999,83.36
2006-03-24,83.11,84.99,82.93,83.36,25547800.0,2.059999999999988,0.0007202881152461593,83.3,81.57,82.0475,82.47
2006-03-31,82.98,83.7,82.2,82.47,23139800.0,1.5,-0.010676583493282155,83.36,83.3,82.675,82.48
2006-04-07,82.72,84.45,82.44,82.48,23780100.0,2.010000000000005,0.00012125621438108247,82.47,83.36,82.9025,81.98
2006-04-13,82.49,82.74,80.63,81.98,18292300.0,2.1099999999999994,-0.00606207565470418,82.48,82.47,82.5725,81.66
2006-04-21,81.77,84.0,81.26,81.66,35449300.0,2.739999999999995,-0.003903391070993023,81.98,82.48,82.1475,82.34
2006-04-28,81.3,84.4,81.1,82.34,36485300.0,3.3000000000000114,0.008327210384521333,81.66,81.98,82.11500000000001,82.98
